,LOC,EOF1,EOF2,EOF3,EOF4,AR_CAT
1994-01-12 09:00:00,R02,0.6544418747077916,0.15832169416609204,-0.2597572520050852,-0.0647348975127701,3
1994-01-15 09:00:00,R03,0.4841473832999349,-0.610864180935988,-0.21613045746208273,0.2519963054293641,2
1994-01-16 09:00:00,R03,0.3608246228235509,-0.34035052129679205,0.039122601351865925,0.5724603388876085,2
1994-01-25 09:00:00,R01,-0.087955647031603,0.2981078568622884,0.1736580757183112,0.056570909199653345,1
1994-01-26 09:00:00,R01,-0.12358539891967962,0.39580203886359494,0.14145012263540768,-0.004174635782716706,1
1994-01-27 09:00:00,R02,0.1297484557623322,0.399508576825967,0.07104692718010476,-0.20422450135634532,3
1994-02-08 09:00:00,R02,0.2934900667101894,0.16487268105223535,0.1806705290481574,-0.2019807485968869,3
1994-02-09 09:00:00,R03,0.026922421221472488,0.2655057976443998,0.16321374799701574,-0.3243942238104939,3
1994-02-20 09:00:00,R02,0.5681289681892833,0.15741269892384516,-0.4244713393500793,-0.05139036665780159,3
1994-02-21 09:00:00,R02,0.5862557662066855,-0.1937193705182537,-0.21395858285105304,0.030163492045434774,2
1994-02-22 09:00:00,R03,0.2231160140684097,-0.5076675942044973,-0.13446640235696794,0.02063438948281522,2
1994-12-05 09:00:00,R01,-0.6735248068602366,-0.03577532990399734,0.1183696356963816,-0.25252313613211885,1
1994-12-06 09:00:00,R01,-0.5940359724911755,-0.005737793445266206,-0.1902111494508997,-0.2347849044746994,1
1994-12-07 09:00:00,R01,-0.37779228417210287,0.010084755739828264,-0.4509887696379763,-0.17689395403446379,1
1995-01-08 09:00:00,R03,0.7201261117575221,0.1375336722375596,-0.012743329926662666,-0.15448331107780142,3
1995-01-09 09:00:00,R03,0.7175017257513312,0.18104087160167995,0.04406687556533618,-0.2045192610369469,3
1995-01-17 09:00:00,R03,0.31834301890019656,-0.35883730471000963,0.33103704305504267,-0.3042894730729406,2
1995-02-06 09:00:00,R01,-0.20512920131166434,-0.4878296727218921,0.40611849014106016,-0.14978353232494956,2
1995-02-07 09:00:00,R01,-0.300121860616065,-0.5212970894377369,0.2515174751895302,-0.12488161938742921,2
1995-02-08 09:00:00,R01/R02,-0.35641916328026174,-0.4906248057659518,0.17274411113527294,0.18139199681635745,2
1995-02-09 09:00:00,R01/R02,-0.32315184657903123,-0.09194670998580806,0.15875457228310927,0.47902280678185616,1
1995-02-14 09:00:00,R02,0.3419940108530492,-0.1698938249512309,-0.39066949490550434,-0.018849792728534865,2
