,LOC,EOF1,EOF2,AR_CAT,EOF_CAT1,EOF_CAT2,EOF_CAT
1995-02-08 09:00:00,R01/R02,-0.35641916328026174,-0.4906248057659518,1,0,1,2
1995-02-09 09:00:00,R01/R02,-0.32315184657903123,-0.09194670998580806,3,0,0,0
1995-02-14 09:00:00,R02,0.3419940108530492,-0.1698938249512309,2,0,0,0
1995-02-15 09:00:00,R03,0.19990080851267125,-0.42285534253614554,1,0,1,2
1995-12-07 09:00:00,R01,-0.1882741767318412,0.4699945008808015,3,0,1,2
1995-12-17 09:00:00,R01/R02,-0.5682120586076109,0.12327672212801498,3,1,0,1
1996-01-15 09:00:00,R02,0.49918136046732714,-0.2312580848322863,2,1,0,1
1996-01-16 09:00:00,R03,0.2969873023397454,-0.4467391607636412,1,0,1,2
1996-02-06 09:00:00,R01,0.3266938251493782,0.42533947783386844,2,0,1,2
1996-02-21 09:00:00,R03,0.21152035391763907,0.16390447117197407,2,0,0,0
1996-02-23 09:00:00,R02,0.518257104977953,0.45626660071016695,2,1,1,2
1996-02-24 09:00:00,R02,0.6231084962133309,0.3083966765797077,2,1,0,1
1996-02-25 09:00:00,R02/R03,0.49779703565722316,0.18266083053019166,2,1,0,1
1996-02-26 09:00:00,R03,0.28451407259812417,0.14528936678412768,2,0,0,0
1997-01-18 09:00:00,R01,-0.32381210903534263,0.15235206819975486,3,0,0,0
1997-02-23 09:00:00,R01,-0.43259054990991774,-0.6147707031138583,1,1,1,2
1997-02-28 09:00:00,R01,0.030676060208062718,0.05197050448936527,3,0,0,0
1997-12-01 09:00:00,R03,0.4716976914324437,0.18113077588743168,2,1,0,1
1997-12-08 09:00:00,R02,0.6481034359124629,-0.03504644222133454,2,1,0,1
1997-12-09 09:00:00,R02/R03,0.41414416803647486,-0.22442733742527687,2,1,0,1
1997-12-10 09:00:00,R03,0.1436193878470583,-0.10752874754590265,1,0,0,0
1997-12-14 09:00:00,R03,0.34162871704440995,0.06810684244373048,2,0,0,0
1998-01-03 09:00:00,R01,0.11251125992982038,-0.08192528235149593,1,0,0,0
1998-01-06 09:00:00,R01,-0.2570851725538772,0.021167350675286477,3,0,0,0
1998-01-07 09:00:00,R01,-0.09631506861878321,0.1025210412591158,3,0,0,0
1998-01-21 09:00:00,R03,0.2949965877297659,0.0825136708937244,2,0,0,0
1998-01-26 09:00:00,R03,0.2911438849480114,0.2649886215394434,2,0,0,0
1998-01-30 09:00:00,R01,-0.03885675084305654,-0.029216498686421063,3,0,0,0
1998-02-09 09:00:00,R01,-0.297674519630318,-0.2845400823139911,1,0,0,0
1998-02-10 09:00:00,R01,-0.4254811113074804,-0.2615978583310904,3,1,0,1
1998-02-13 09:00:00,R01,-0.622286132824189,0.1376541970141297,3,1,0,1
1998-02-14 09:00:00,R01,-0.45819550051011526,0.05617801929276407,3,1,0,1
1998-02-19 09:00:00,R03,-0.3157834730568853,-0.3591997853269716,1,0,1,2
1998-02-24 09:00:00,R02,0.4078960476749918,0.04483831851701068,2,1,0,1
1999-02-06 09:00:00,R01,0.32809963204913256,0.20585132056456365,2,0,0,0
1999-02-21 09:00:00,R01,-0.08100953170687819,-0.037603657717111195,3,0,0,0
1999-02-22 09:00:00,R01,-0.018788292479132423,0.18165609435337146,3,0,0,0
2000-01-12 09:00:00,R02,0.37877914413540315,0.12553180106409328,2,0,0,0
2000-01-18 09:00:00,R01,-0.09580761199119024,-0.050811444517385784,3,0,0,0
2000-02-25 09:00:00,R03,0.2673913033864822,-0.5189411930388151,1,0,1,2
2000-12-16 09:00:00,R01,0.05812311723139766,0.6118359564928351,2,0,1,2
2000-12-31 09:00:00,R02/R03,0.7625710127543005,0.13574309282200667,2,1,0,1
